Date,Day,Category,Expenditure,Cost
03-06-2017,Saturday,Rent,Hostel,9500
03-06-2017,Saturday,Travel,Bus,212
03-06-2017,Saturday,Travel,Auto,50
03-06-2017,Saturday,Drinks,Tea,10
04-06-2017,Sunday,Drinks,Juice,10
04-06-2017,Sunday,Food,Dinner,120
04-06-2017,Sunday,Food,Sweet,30
04-06-2017,Sunday,Travel,Bike,165
04-06-2017,Sunday,Food,Paan,15
04-06-2017,Sunday,Drinks,Tea,10
05-06-2017,Monday,Travel,Auto,10
05-06-2017,Monday,Drinks,Juice,15
05-06-2017,Monday,Travel,Bus,16
05-06-2017,Monday,Food,Lunch,20
05-06-2017,Monday,Travel,Bus,10
05-06-2017,Monday,Drinks,Juice,25
05-06-2017,Monday,Basics,Supermarket,296
06-06-2017,Tuesday,Travel,Auto,10
06-06-2017,Tuesday,Food,Maggy,25
06-06-2017,Tuesday,Travel,Bike,150
06-06-2017,Tuesday,Food,Dominos,158
06-06-2017,Tuesday,Drinks,Juice,18
06-06-2017,Tuesday,Drinks,Tea,10
07-06-2017,Wednesday,Travel,Auto,10
07-06-2017,Wednesday,Drinks,Tea,10
07-06-2017,Wednesday,Drinks,Juice,18
08-06-2017,Thursday,Travel,Auto,10
08-06-2017,Thursday,Food,Sweet,12
08-06-2017,Thursday,Drinks,Juice,18
09-06-2017,Friday,Travel,Auto,10
09-06-2017,Friday,Food,Lunch,85
09-06-2017,Friday,Food,Dinner,65
09-06-2017,Friday,Drinks,Juice,25
10-06-2017,Saturday,Food,Snacks,25
10-06-2017,Saturday,Travel,Bus,10
10-06-2017,Saturday,Food,Snacks,25
10-06-2017,Saturday,Travel,Auto,30
10-06-2017,Saturday,Food,Dinner,100
10-06-2017,Saturday,Food,Paan,15
11-06-2017,Sunday,Basics,Supermarket,35
11-06-2017,Sunday,Food,Snacks,55
11-06-2017,Sunday,Drinks,Juice,15
12-06-2017,Monday,Food,Lunch,45
12-06-2017,Monday,Drinks,Juice,25
12-06-2017,Monday,Food,Corn,10
12-06-2017,Monday,Food,Pastry,26
13-06-2017,Tuesday,Travel,Auto,10
13-06-2017,Tuesday,Food,Lunch,30
13-06-2017,Tuesday,Drinks,Juice,25
14-06-2017,Wednesday,Travel,Bike,50
14-06-2017,Wednesday,Food,Lunch,60
14-06-2017,Wednesday,Food,Snacks,30
14-06-2017,Wednesday,Food,Snacks,20
14-06-2017,Wednesday,Drinks,Juice,30
15-06-2017,Thursday,Travel,Bike,60
15-06-2017,Thursday,Food,Fruits,30
15-06-2017,Thursday,Food,Lunch,50
15-06-2017,Thursday,Food,Pastry,10
15-06-2017,Thursday,Drinks,Juice,35
15-06-2017,Thursday,Food,Dinner,16
16-06-2017,Friday,Travel,Bike,60
16-06-2017,Friday,Food,Fruits,30
16-06-2017,Friday,Food,Lunch,30
16-06-2017,Friday,Drinks,Juice,18
16-06-2017,Friday,Food,Snacks,15
17-06-2017,Saturday,Rent,Ticket,40
17-06-2017,Saturday,Basics,Supermarket,80
18-06-2017,Sunday,Food,KFC,290
19-06-2017,Monday,Food,Roll,40
19-06-2017,Monday,Drinks,Juice,35
20-06-2017,Tuesday,Travel,Auto,10
20-06-2017,Tuesday,Food,Lunch,30
20-06-2017,Tuesday,Drinks,Tea,10
20-06-2017,Tuesday,Food,Snacks,25
21-06-2017,Wednesday,Travel,Auto,10
21-06-2017,Wednesday,Food,Lunch,50
21-06-2017,Wednesday,Rent,Airtel,284
21-06-2017,Wednesday,Food,Sandwich,35
21-06-2017,Wednesday,Drinks,Tea,20
21-06-2017,Wednesday,Food,Snacks,25
22-06-2017,Thursday,Travel,Auto,10
22-06-2017,Thursday,Food,Lunch,45
22-06-2017,Thursday,Food,Sandwich,35
22-06-2017,Thursday,Drinks,Tea,20
23-06-2017,Friday,Food,Lunch,294
23-06-2017,Friday,Food,Sweet,60
23-06-2017,Friday,Travel,Bike,300
23-06-2017,Friday,Drinks,Tea,30
23-06-2017,Friday,Food,Snacks,60
23-06-2017,Friday,Food,Dinner,285
24-06-2017,Saturday,Drinks,Juice,30
24-06-2017,Saturday,Rent,Ticket,30
24-06-2017,Saturday,Food,Biscuit,32
24-06-2017,Saturday,Drinks,Water,22
24-06-2017,Saturday,Food,Lunch,65
24-06-2017,Saturday,Basics,Pillow,50
24-06-2017,Saturday,Food,Paan,40
24-06-2017,Saturday,Drinks,Juice,9
24-06-2017,Saturday,Food,Dominos,340
24-06-2017,Saturday,Rent,Ticket,100
24-06-2017,Saturday,Rent,Bag,10
24-06-2017,Saturday,Rent,Parking,15
24-06-2017,Saturday,Travel,Bike,640
24-06-2017,Saturday,Food,Ice Cream,10
24-06-2017,Saturday,Drinks,Tea,20
25-06-2017,Sunday,Basics,Supermarket,823
25-06-2017,Sunday,Food,Subway,240
25-06-2017,Sunday,Travel,Bus,1104
26-06-2017,Monday,Rent,Ticket,40
26-06-2017,Monday,Travel,Auto,20
26-06-2017,Monday,Travel,Bus,14
26-06-2017,Monday,Rent,Ticket,8
26-06-2017,Monday,Travel,Bus,32
26-06-2017,Monday,Food,Lunch,170
26-06-2017,Monday,Travel,Auto,500
26-06-2017,Monday,Travel,Bus,26
26-06-2017,Monday,Rent,Room,300
26-06-2017,Monday,Drinks,Juice,30
26-06-2017,Monday,Rent,Ticket,60
26-06-2017,Monday,Drinks,Juice,60
26-06-2017,Monday,Food,Snacks,100
26-06-2017,Monday,Drinks,Water,20
26-06-2017,Monday,Travel,Cab,240
26-06-2017,Monday,Travel,Auto,40
26-06-2017,Monday,Food,Dinner,220
27-06-2017,Tuesday,Travel,Bus,586
27-06-2017,Tuesday,Travel,Bike,400
27-06-2017,Tuesday,Drinks,Juice,10
27-06-2017,Tuesday,Rent,Petrol,100
27-06-2017,Tuesday,Food,Breakfast,250
27-06-2017,Tuesday,Food,Dinner,345
27-06-2017,Tuesday,Rent,Room,1198
28-06-2017,Wednesday,Travel,Bus,1814
28-06-2017,Wednesday,Food,Breakfast,100
28-06-2017,Wednesday,Drinks,Shake,90
28-06-2017,Wednesday,Drinks,Tea,70
28-06-2017,Wednesday,Food,Snacks,100
28-06-2017,Wednesday,Food,Snacks,40
28-06-2017,Wednesday,Basics,Clothes,800
28-06-2017,Wednesday,Basics,Mandir,470
28-06-2017,Wednesday,Travel,Bus,30
28-06-2017,Wednesday,Food,Snacks,110
28-06-2017,Wednesday,Food,Dinner,170
29-06-2017,Thursday,Travel,Cab,110
29-06-2017,Thursday,Basics,Supermarket,886
29-06-2017,Thursday,Drinks,Juice,50
29-06-2017,Thursday,Drinks,Tea,20
29-06-2017,Thursday,Food,Dinner,100
29-06-2017,Thursday,Food,Ice Cream,10
30-06-2017,Friday,Food,Lunch,300
30-06-2017,Friday,Food,Biscuit,260
30-06-2017,Friday,Rent,Ticket,10
30-06-2017,Friday,Travel,Bike,664
30-06-2017,Friday,Drinks,Juice,25
